FECHA,CR00,CR01,CR02,CR03,CR04,CR05,CR06,CR07,CR08,CR09,CR10,CR11,CR12,CR13,CR14,CR15,CR16,CR17,CR18,CR19,CR20,CR21,CR22,CR23,ANNO,MES,DIA,DIASEM,FESTIVO,TMIN,TMAX
01/01/2014,0.0409423456361367,0.0389845321283685,0.0363817469192106,0.0344163006102425,0.0334087708518588,0.0334202200536586,0.0340537425532483,0.0342292969808455,0.0358894312418186,0.0394272345979613,0.0418010357711228,0.0421216134215176,0.0423658630599137,0.043396291221897,0.0429803035565037,0.0408354864193385,0.0410263064493354,0.0446518870192766,0.0519831925717579,0.0551966018769058,0.0541852557179222,0.0510634400271728,0.0462395096688509,0.0409995916451358,2014,1,1,3,1,12.3,20.2
02/01/2014,0.033950430735646,0.0309959006339262,0.0295168578874576,0.0289657722487494,0.0291648741569279,0.0301497175241678,0.0329442550211012,0.0365103124122263,0.0411963180368552,0.0451321361145974,0.0461703103500994,0.0453241272403409,0.0446592690826735,0.0454343443680825,0.0452814625457312,0.0435890963262143,0.043361551288296,0.0459392099209636,0.0529362198369498,0.05581964211432,0.0544508164955931,0.0514820648290035,0.0461454226115771,0.0408798882185001,2014,1,2,4,0,12,20.1
03/01/2014,0.035463252001444,0.0321115853701698,0.0302924125629101,0.0295208567808428,0.0294500718467081,0.0305153851054342,0.033187516369016,0.0366559781416123,0.0410517225513722,0.0460455996545695,0.0470472064725744,0.0447962455670935,0.0443184472616848,0.0448457950209877,0.0446936074125983,0.0434584103119492,0.0433628506508675,0.045907569033007,0.0528020216177189,0.0552299448585363,0.0535204886991853,0.0502856172092332,0.0454120744940647,0.0400253410064202,2014,1,3,5,0,13.2,21
04/01/2014,0.0359589527843316,0.0327716819693567,0.0310341396856079,0.0301778049404474,0.0301351658659996,0.0307818584951249,0.0325975724153614,0.0349818073282356,0.0392990136160778,0.0445969186162199,0.046753745132039,0.0460502004036499,0.0446111316410358,0.0456700019898235,0.0459258364365104,0.0447319423519713,0.0443162113761051,0.0462491827510731,0.0516501321811308,0.0537572131100941,0.0526201711248188,0.0499729952528497,0.0449700105176384,0.0403863100144973,2014,1,4,6,0,14.4,23.4
05/01/2014,0.0375060634000215,0.0341475877850724,0.0318777470442082,0.0311260705835305,0.0309298200790186,0.0316037369058331,0.033066358590403,0.034802990413348,0.0387576232212484,0.0437601596664482,0.0459300237352025,0.0454782772908544,0.0448043604640399,0.0456449050777041,0.0452746211069269,0.0432898990235612,0.0433491444588855,0.0462558736294865,0.0517212650381578,0.052902470904937,0.0514805804571526,0.049655080481221,0.0457300703909828,0.0409052702517561,2014,1,5,7,0,12.8,23.1
06/01/2014,0.0386157573862748,0.0352040018758793,0.0329959355948101,0.0320384555260278,0.0318899484133187,0.0323042050961388,0.0339416914178521,0.0361536657808348,0.0400304830389245,0.0443137408160075,0.0455994997655151,0.0441339690479913,0.0436024699077693,0.0434383304674066,0.0423636079412225,0.0408120994216039,0.0408511802407379,0.0436610911364702,0.051062998280444,0.054341879005784,0.0538416445208692,0.0509809285602626,0.0463420353290605,0.0414803814287948,2014,1,6,1,1,13,20.1
07/01/2014,0.0339781475585022,0.0314883068356124,0.0301252553449792,0.0293255984704745,0.0293692161181747,0.030590510253782,0.0333057088231232,0.0375511598659484,0.0419201942439244,0.0462964982298504,0.0470997899083302,0.0457803560653974,0.0452787531168444,0.0457331036137221,0.0438066575069606,0.0415567138464222,0.0429888266125808,0.045722199201797,0.0520612973342348,0.0554525694429299,0.0546020253127749,0.0515378855618316,0.0451115521339934,0.0393176745978089,2014,1,7,2,0,12.6,21.6
08/01/2014,0.0337798001208101,0.0310850842957749,0.0298516640322353,0.0293271891401144,0.0294501694596462,0.030180817240394,0.0332987300473474,0.0388726321767155,0.0425222540122329,0.0458644250489209,0.0465191143970166,0.0449999457439767,0.044967392129983,0.0449456897206538,0.0450939895177363,0.0432926895434175,0.0429635363352588,0.0454846328856609,0.0523534454383344,0.0554207192901865,0.0544332596657106,0.0511200251747948,0.045119308995287,0.0390534855877917,2014,1,8,3,0,13,24.2
09/01/2014,0.0338863711095544,0.0313523096058444,0.0301013624601484,0.0294294251361745,0.0296796145653137,0.030555277567301,0.0332930647490243,0.0396014124980342,0.0430039887343274,0.0457203311078388,0.0457989620712825,0.0442513617453215,0.0451484695555206,0.0462564513131371,0.0459991136145939,0.0439654309691624,0.043436459033268,0.0460920411168456,0.0514246500922127,0.0543125509314195,0.0536477618768496,0.0503202424692982,0.0443407151128712,0.0383826325646561,2014,1,9,4,0,14.4,21.5
10/01/2014,0.0344125062301952,0.0319058758472156,0.0303160391601879,0.029522939851785,0.0295811489753375,0.0301923447726388,0.0331537339333724,0.0390910645357277,0.0423580515951119,0.0455777437416097,0.0463744811202346,0.0450938804020795,0.045144813385188,0.04561412444383,0.0453521833878437,0.0433657970466146,0.0429583331817471,0.0453339930367336,0.0517151682061767,0.0551968014086608,0.0532140531376536,0.0503472538026929,0.0446209312732154,0.0395567375241477,2014,1,10,5,0,12.8,19.7
